total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.2

[-0.024735706734288314, -0.024735706734288314, 0.29163024717097424, 0.24005683452269425, 0.20396904613116895, 0.3907085050118812, 0.4088398745639723, 0.38928969720536094, 0.35797590489454484]
[-0.012530273374187249, -0.012530273374187249, 0.29163024717097424, 0.2512163398666976, 0.20501497414726663, 0.3907085050118812, 0.4088398745639723, 0.38928969720536094, 0.3620443826812452]
[0.010403088956243126, 0.010403088956243126, 0.29163024717097424, 0.2672832845144045, 0.20501497414726663, 0.39217164797535514, 0.4088398745639723, 0.3954710083520304, 0.3620443826812452]
[-0.02535688794919383, -0.02535688794919383, 0.27892656223637285, 0.24625737334849548, 0.184735741215078, 0.3880808523902739, 0.4045892136345967, 0.3846235713534501, 0.3510446002282534]
[0.006158791664868489, 0.006158791664868489, 0.2810634133087305, 0.2687647968043406, 0.18500860416449405, 0.3908532266525032, 0.41221108426971603, 0.3846235713534501, 0.3525007558829996]
[0.013879936158602356, 0.013879936158602356, 0.28236586802121294, 0.27949599200399666, 0.1856061362064003, 0.39087820160841225, 0.41048296832007547, 0.38336533011926877, 0.3528688922939031]
[0.021060145058666706, 0.021060145058666706, 0.2898652896604128, 0.28574087034951645, 0.18849020827934979, 0.39224664421984223, 0.4067871964849824, 0.38619576304107367, 0.3550047007398602]
[0.04608318618241804, 0.04608318618241804, 0.3027749150365208, 0.29661079993051853, 0.19387090362910614, 0.4013602573109311, 0.40767142735166856, 0.38619576304107367, 0.3553301501382747]
[0.057185398170970014, 0.057185398170970014, 0.3027749150365208, 0.29661079993051853, 0.20497311561765813, 0.4013602573109311, 0.40767142735166856, 0.38619576304107367, 0.3553301501382747]
[0.03661226249703768, 0.03661226249703768, 0.2992259235225615, 0.28899784803460293, 0.19317890715062921, 0.4033884884213555, 0.4056490947892167, 0.38564620221449497, 0.35618160495673507]
[-0.12454166648804263, -0.12454166648804263, 0.2444752540330149, 0.1883783642511448, 0.11349152460533148, 0.37910892591469886, 0.3837103837078447, 0.3761287246009247, 0.34400788566295265]
[-0.08158170785453776, -0.08158170785453776, 0.2444752540330149, 0.2198070395443808, 0.1199503271462263, 0.3810264460460195, 0.3942218820747839, 0.37750000301684317, 0.34400788566295265]
[-0.06210579115352106, -0.06210579115352106, 0.2444752540330149, 0.23490358289436164, 0.1233749915586717, 0.38198115498461, 0.4007138543084562, 0.382476728715251, 0.34552313219821706]
[-0.02905469934930912, -0.02905469934930912, 0.2444752540330149, 0.2624105705304449, 0.1233749915586717, 0.3838809498918465, 0.4026136492156927, 0.382476728715251, 0.34552313219821706]
[-0.009633261760696033, -0.009633261760696033, 0.2444752540330149, 0.2650603085110281, 0.1363390417525587, 0.3838809498918465, 0.40622225762999686, 0.3850071470177725, 0.3469864559774203]
[-0.0022138959512162087, -0.0022138959512162087, 0.2444752540330149, 0.26547693074742895, 0.14292516308923675, 0.3838809498918465, 0.4086953795664901, 0.38748026895426574, 0.34987620015031445]
[-0.06318261603428035, -0.06318261603428035, 0.2444752540330149, 0.25832135336674567, 0.11856998666228123, 0.36561083072970524, 0.397507532453206, 0.3797678091380301, 0.3225831592239384]
[-0.025722450797956122, -0.025722450797956122, 0.24850586209024353, 0.2695526989908444, 0.14305514776316208, 0.36882831478214867, 0.40395388472432303, 0.37979513802220516, 0.3238073337372404]
[-0.035483137171074874, -0.035483137171074874, 0.24971744366366486, 0.2576458599613524, 0.14556323478908398, 0.36882831478214867, 0.3952258488180346, 0.3662566042911424, 0.32152408970911156]
[-0.024031891754209583, -0.024031891754209583, 0.2560276130459797, 0.26395602934366724, 0.14938031659470574, 0.3726453965877704, 0.39904293062365637, 0.37007368609676417, 0.32152408970911156]
[0.005614833167861027, 0.005614833167861027, 0.2560276130459797, 0.2681169766058784, 0.16991699561088522, 0.37494667401566606, 0.39904293062365637, 0.37809281804318434, 0.3244395088351124]
[0.027284677736919005, 0.027284677736919005, 0.2662986245989994, 0.2777228715960529, 0.1787662667473086, 0.3801236771420724, 0.39970804718650155, 0.3846252371324004, 0.3248855434892795]
[0.04760674360901593, 0.04760674360901593, 0.27290989019304485, 0.29001811879503514, 0.18239751115891195, 0.38605774336798876, 0.40377331619864054, 0.387333990077627, 0.3248855434892795]
[0.06073764599585038, 0.06073764599585038, 0.2807674981198624, 0.2966762417229902, 0.1868422165390502, 0.3883388988336657, 0.40407122603845436, 0.3908146305421664, 0.32578187048701823]
[0.08263208332144763, 0.08263208332144763, 0.2815915781000206, 0.30670542046840543, 0.19334276803837122, 0.3897204324730863, 0.4074502423745573, 0.3908146305421664, 0.32660595046717644]
[-0.12299218134384109, -0.12299218134384109, 0.23245858729089228, 0.18959301135745324, 0.14832878876059052, 0.31812302834726536, 0.34858227230272204, 0.3381758846570503, 0.29540712376898476]
[-0.14064090455445782, -0.14064090455445782, 0.22415909005261728, 0.18053514110201768, 0.12849310368059025, 0.3174232274541912, 0.3332933139452375, 0.3247779469008297, 0.28484823938712656]
[-0.08311789261660436, -0.08311789261660436, 0.22675422622148364, 0.20727097889703539, 0.1419547001007125, 0.32857626816890595, 0.3359528324422969, 0.3363567873209391, 0.29625028715755564]
[-0.10245102773989996, -0.10245102773989996, 0.2176882689258211, 0.20451234648382577, 0.12419250715433153, 0.31770300293024456, 0.32613101948300866, 0.3276647798820024, 0.29143932314003823]
[-0.048852886954048165, -0.048852886954048165, 0.219455530094515, 0.2358610246122857, 0.1273525683137691, 0.31770300293024456, 0.333381611703179, 0.3338191458097635, 0.2962549996950258]
[-0.023689384705756857, -0.023689384705756857, 0.219455530094515, 0.25209147916929003, 0.1326619535916821, 0.3196409424790796, 0.33814578337256873, 0.3355048686743025, 0.2962549996950258]
[-0.005743610508534829, -0.005743610508534829, 0.22953252864610907, 0.2621684777208841, 0.13864387832408945, 0.3237360162982663, 0.34003263428578934, 0.33959994249348924, 0.2962549996950258]
[-0.02451100793365374, -0.02451100793365374, 0.22639900979831867, 0.25729198092531047, 0.13063362320472421, 0.3235907757802649, 0.32752922569476417, 0.3131537520332557, 0.2853860500682803]
[-0.11617621213333147, -0.11617621213333147, 0.22599372255735617, 0.22817782655452376, 0.07524926106501695, 0.32120052954303335, 0.2914259172048079, 0.2853569966877379, 0.26257524608935023]
[-0.11581717281358722, -0.11581717281358722, 0.2204758389335296, 0.2315922386282629, 0.05993803787300464, 0.3219951677292903, 0.287389287611851, 0.2901708301307024, 0.2616568118580862]
[-0.2006470324738803, -0.2006470324738803, 0.19250905590113013, 0.17426763280506333, 0.020145908587829487, 0.3081452665687796, 0.2566338370944874, 0.2534534189068369, 0.2407287932082484]
[-0.1524062669106572, -0.1524062669106572, 0.19250905590113013, 0.20782817733124617, 0.03200842205593494, 0.3081452665687796, 0.2566338370944874, 0.2534534189068369, 0.2407287932082484]
[-0.10696431896172423, -0.10696431896172423, 0.19250905590113013, 0.2133223941369353, 0.057257154724786166, 0.3096042017232284, 0.2730221651401669, 0.2603875969196288, 0.26031579847648484]
[-0.03528056319316927, -0.03528056319316927, 0.19529668221728566, 0.24559280800413022, 0.07838937396008984, 0.3092246287417762, 0.2716033657407947, 0.2587681322546219, 0.2581378531142083]
[-0.08133154950753609, -0.08133154950753609, 0.1753455984182856, 0.2222972072368546, 0.04293804470189531, 0.3034029376707619, 0.26531476990023367, 0.24983540984896016, 0.24384143841487918]
[-0.030838654271961436, -0.030838654271961436, 0.1753455984182856, 0.24564078053367006, 0.058855671238954556, 0.305730169908067, 0.26795886339355207, 0.2615174668536852, 0.24384143841487918]
[-0.0545153890373091, -0.0545153890373091, 0.16069973797470036, 0.22500811062391252, 0.04786750937472527, 0.30440118821020423, 0.2552975162741429, 0.2579657421710859, 0.25179656671289635]
[-0.025804004588357334, -0.025804004588357334, 0.15977531605523718, 0.23039653241861388, 0.06147231963223265, 0.304092677537463, 0.25444908324061793, 0.2579397290463436, 0.2549776083328363]
[-0.0020402184859522063, -0.0020402184859522063, 0.15977531605523718, 0.2319366880991956, 0.07891815637331911, 0.304092677537463, 0.2577354193319769, 0.264177967661936, 0.2628988703669713]
[0.020061952669631046, 0.020061952669631046, 0.15977531605523718, 0.23358705792649512, 0.09784873463040415, 0.304092677537463, 0.2577354193319769, 0.2715453580471304, 0.2628988703669713]
[0.048262282323262615, 0.048262282323262615, 0.16531760571151824, 0.23770816012682455, 0.11761128083213274, 0.3047567271348992, 0.26418217699729657, 0.2715453580471304, 0.2676629432806358]
[0.04726029356210963, 0.04726029356210963, 0.16639136093990903, 0.2382123719941662, 0.11634707665586148, 0.30540374056429914, 0.26342836736946346, 0.27071530804116317, 0.2683486097093765]
[0.006582418382814606, 0.006582418382814606, 0.1559414699400092, 0.22290550121679342, 0.09111568807335135, 0.30383898147425403, 0.2518007588245721, 0.26494884229664156, 0.2593496990076074]
[-0.0261363366790961, -0.0261363366790961, 0.1651939824021464, 0.23231190700670168, 0.06218468776810064, 0.3095362967379132, 0.24394822558879783, 0.2553727983385278, 0.2519331021702164]
[0.00020757158328744215, 0.00020757158328744215, 0.16682044425693437, 0.23089224565743027, 0.08441371519236782, 0.3069430454537208, 0.2397899384380841, 0.2535672712623547, 0.2596577320846697]
[0.03768731742027439, 0.03768731742027439, 0.18184739715709833, 0.24722844746657863, 0.09559771489571242, 0.31334613168588044, 0.24012515858115804, 0.25396816370450553, 0.27055040695098687]
[-0.04501793403248109, -0.04501793403248109, 0.1541659937689693, 0.20124728126869948, 0.048534696415592854, 0.30522402466220655, 0.229433481221924, 0.23572684770181174, 0.2665755053960078]
[-0.007125019027659881, -0.007125019027659881, 0.1545059859428278, 0.20857392535719518, 0.07614222681780128, 0.3056645561499982, 0.23543324618233094, 0.23973249473935176, 0.26688639556656035]
[0.037986342535987726, 0.037986342535987726, 0.15537298992031723, 0.2169923034045482, 0.1026461380640504, 0.305843225010949, 0.24160305505987142, 0.2418636623223523, 0.26688639556656035]
[0.06837170983616957, 0.06837170983616957, 0.1563606709745484, 0.2169923034045482, 0.12227065482813125, 0.305843225010949, 0.2423700700331878, 0.24369856525978187, 0.2778839995326402]
[-0.0010930812468689394, -0.0010930812468689394, 0.1375440318791905, 0.17485063554783856, 0.08555414221861195, 0.2952372719379721, 0.2361087262196856, 0.2375472115239718, 0.264285261654594]
[0.022335451607794852, 0.022335451607794852, 0.1373942029986347, 0.17927690792827905, 0.1098934880090441, 0.29179206365769195, 0.23457157538570997, 0.23636930796190814, 0.26814769711523495]
[0.03480462800537561, 0.03480462800537561, 0.1488367528592255, 0.19246847213359392, 0.11268980233904449, 0.29901096323785803, 0.24249722509514204, 0.23349316897568984, 0.266017212962729]
[-0.061730249887941645, -0.061730249887941645, 0.12878488033319385, 0.1429033016192028, 0.06486105381354622, 0.2806996431914267, 0.22395765437286122, 0.22289333077064866, 0.2508146512485853]
[-0.011860783956715481, -0.011860783956715481, 0.1303972350416635, 0.15430539508744662, 0.09184692438787388, 0.2873141248814984, 0.22361338860337185, 0.23038289914355845, 0.2504176553162602]
[-0.06686251477330298, -0.06686251477330298, 0.1061240594663622, 0.12413224576224702, 0.04868099192955146, 0.28233186963022, 0.20431194051029328, 0.21618634153459712, 0.24123382675470792]
[-0.016751971159153372, -0.016751971159153372, 0.1061240594663622, 0.14962609446368438, 0.05885627878181751, 0.28828360406393194, 0.21252578142160888, 0.22467601516133137, 0.24123382675470792]
[-0.04403861261022018, -0.04403861261022018, 0.09391822086298135, 0.12072696695391094, 0.05330973115860301, 0.28204384796411147, 0.2011524006605357, 0.21425462956338565, 0.2445145542250818]
[0.0012923275950206953, 0.0012923275950206953, 0.09612664097349972, 0.12831574258263548, 0.08216195569493154, 0.2869658577677859, 0.2011524006605357, 0.21986327265315822, 0.2445145542250818]
[-0.11059839069701717, -0.11059839069701717, 0.05320109886245497, 0.09284338614286615, 0.009955262890048139, 0.28639263784523356, 0.1511401127763992, 0.21224097662374883, 0.22152365966726503]
[-0.0690945622079169, -0.0690945622079169, 0.05320109886245497, 0.09534816097888861, 0.03937671148688705, 0.28861936867717053, 0.1623553537164235, 0.21224097662374883, 0.22414302822360746]
[-0.035920084570407074, -0.035920084570407074, 0.05320109886245497, 0.09534816097888861, 0.06532355391392065, 0.28861936867717053, 0.16485956643660507, 0.2184332118709232, 0.22414302822360746]
[-0.036427279374589054, -0.036427279374589054, 0.04587443781202764, 0.08304143980481304, 0.07515725537946642, 0.27906923659854216, 0.1614702454909813, 0.21218828835902598, 0.2170149870245894]
[-0.0556355405509645, -0.0556355405509645, 0.04545400461093812, 0.08806599839984373, 0.07459848760200012, 0.2550421840694415, 0.1546449987361549, 0.21319260788102948, 0.20999144844312098]
