total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.1
every 250 games mu change 0.2

[-0.10755942274108378, -0.10755942274108378, 0.17577769781723895, 0.15934896345205524, 0.27984332832716635, 0.2724591740362538, 0.4289673258322371, 0.386205105473064, 0.3257986846834467]
[-0.1259270541129741, -0.1259270541129741, 0.15790662757507212, 0.03819079951191364, 0.21046396985004379, 0.27752081169320064, 0.495407891596813, 0.2163169502530018, 0.29061865706104195]
[0.16820901724640475, 0.16820901724640475, 0.15790662757507212, 0.23903812549426812, 0.23605180661000658, 0.3031086484531634, 0.495407891596813, 0.2163169502530018, 0.3147094413803497]
[-0.11661719048597337, -0.11661719048597337, 0.04035617538919112, 0.13389789226083673, 0.153689515356607, 0.19674457499726322, 0.47453540915716597, 0.1597173174218435, 0.28005991870399716]
[-0.04036994684040708, -0.04036994684040708, 0.013642013519049359, 0.1211990888755463, 0.06712685700312321, 0.34308470021646237, 0.38518755385609016, 0.1597173174218435, 0.3383049309591474]
[-0.07973028581628894, -0.07973028581628894, 0.00656921065247657, 0.1220363874969596, 0.05997996361578911, 0.23580483026396698, 0.29805774152628045, 0.05968063871501988, 0.34028120774858966]
[-0.2396062498800367, -0.2396062498800367, -0.009541406064516667, 0.03297428530420645, 0.022311920625386186, 0.18749550736396856, 0.11165374270711194, -0.06533378662020302, 0.3102114823770267]
[-0.07833848650541321, -0.07833848650541321, -0.009541406064516667, 0.028629972611878295, 0.09769938123298069, 0.2281144569519305, 0.09514438328257176, -0.07456447191452084, 0.33283747371484046]
[-0.0672628182687782, -0.0672628182687782, -0.07144027524495568, 0.07341011012890251, 0.16146544731888884, 0.2329782709839385, -0.05853653679192733, -0.10814097598748555, 0.3708949980922935]
[0.16072274775221587, 0.16072274775221587, -0.07144027524495568, 0.07341011012890251, 0.1698725297357205, 0.4084707007756575, -0.016421245375361458, -0.10473868445844531, 0.3708949980922935]
[0.24326339729940358, 0.24326339729940358, -0.06755992306678885, 0.07341011012890251, 0.1698725297357205, 0.48132636524795613, -0.018345526093916837, -0.09893405156172311, 0.39067963432607844]
[-0.0033587685188681635, -0.0033587685188681635, -0.23449168514047888, 0.00549878072095631, 0.12577216051990267, 0.35539430815723794, -0.0889365228121537, -0.10555342133804939, 0.3612353089749858]
[-0.07403874844252467, -0.07403874844252467, -0.22533275301707797, 0.007563072088790826, 0.025640311752919833, 0.38235714936584264, -0.15484489039758614, -0.1136324928719444, 0.34988211932408875]
[-0.05184941079255406, -0.05184941079255406, -0.22909806153692197, 0.030337570335211755, -0.13877574208492877, 0.48101845503147056, -0.2019057262966384, -0.08014707156739673, 0.34809261936255664]
[0.12748614799601993, 0.12748614799601993, -0.22909806153692197, 0.027403821009034324, 0.046977348415894946, 0.48101845503147056, -0.23833547532492408, -0.06346358106994697, 0.4097769491832463]
[0.2091134681502952, 0.2091134681502952, -0.1385172676150355, 0.02857185109286467, 0.05488092981337346, 0.48101845503147056, -0.23833547532492408, -0.014328041607108226, 0.4097769491832463]
[0.09799404745823165, 0.09799404745823165, -0.20389874181255574, 0.019773923542142507, 0.044820938312516906, 0.4722205274807484, -0.26593191286718276, -0.014328041607108226, 0.40512400494990286]
[0.0031716530196335326, 0.0031716530196335326, -0.31272798744034636, 0.04179349536158318, 0.07467930600539766, 0.48437003837027787, -0.5646027472104509, 0.07709115829284989, 0.43706534949967635]
[0.18097111590392942, 0.18097111590392942, -0.29470679371691816, 0.04179349536158318, 0.07467930600539766, 0.6339836867685678, -0.5465815534870226, 0.08725577905542753, 0.49633183712777496]
