total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0

[0.24516929720280561, 0.24516929720280561, 0.3751804770413278, 0.37620477289996246, 0.38091319183813466, 0.4346969818699164, 0.44096301020883893, 0.4436956643072604, 0.43722946772648175]
[0.2282115129183025, 0.2282115129183025, 0.3712833693257305, 0.3730645162238595, 0.3741830106497531, 0.4315110045205829, 0.44096301020883893, 0.4430005463373782, 0.43722946772648175]
[0.2146253276205721, 0.2146253276205721, 0.3665823469775089, 0.36836349387563794, 0.3684079957519578, 0.4269822760880061, 0.44096301020883893, 0.4430005463373782, 0.4359831812612633]
[0.17760995406663127, 0.17760995406663127, 0.35027035234186105, 0.3486493155542086, 0.35686375535137665, 0.41125449833361427, 0.43001935905659794, 0.43282898584930324, 0.42448726741298687]
[0.17933894393870667, 0.17933894393870667, 0.35089131785604855, 0.3492702810683961, 0.35690839090820575, 0.41183082829097273, 0.43001935905659794, 0.43282898584930324, 0.42448726741298687]
[0.17656905454751928, 0.17656905454751928, 0.349079178775676, 0.34745814198802355, 0.3559850944444766, 0.4106173615907514, 0.4291305164399546, 0.43282898584930324, 0.4241626433294089]
[0.17512575910851552, 0.17512575910851552, 0.34811698181634015, 0.34612323832840053, 0.3551312892645215, 0.4101362631110835, 0.4291305164399546, 0.43282898584930324, 0.4241626433294089]
[0.1715909451960904, 0.1715909451960904, 0.3461499953239292, 0.3441562518359896, 0.3539530179603798, 0.4090874448381513, 0.4279522451358129, 0.43282898584930324, 0.4241626433294089]
[0.030401711190464198, 0.030401711190464198, 0.29705638277649976, 0.27122051797960256, 0.33009552466961023, 0.34473163643167803, 0.42623447956113586, 0.42898721446668464, 0.4146071240055182]
[-0.06283672407086595, -0.06283672407086595, 0.26523016531837856, 0.20862748395533148, 0.3141635731873548, 0.30461454127333165, 0.42452728834178505, 0.4103111716489796, 0.40095269741394285]
[-0.17281703851167135, -0.17281703851167135, 0.22739219548498127, 0.13543061545470034, 0.2872086645396747, 0.2570548642791847, 0.4036791757413652, 0.37911334562518495, 0.38824490997366695]
[-0.12045457483504504, -0.12045457483504504, 0.22728923209285223, 0.148239307754369, 0.2876900178575095, 0.29275325015654513, 0.4110376676584324, 0.38632815936283577, 0.38867646053934546]
[-0.06772124014874761, -0.06772124014874761, 0.2306004447978804, 0.15847050076038613, 0.2888317601693817, 0.3279692314401309, 0.4110376676584324, 0.38933316387504885, 0.38867646053934546]
[-0.040393049987441816, -0.040393049987441816, 0.23180312285055676, 0.16253570442559676, 0.28981733957910033, 0.35123024703827493, 0.4139097785829151, 0.3890310657334347, 0.39012327357386717]
