total games =  1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  1e-08
every 500 games mu change 0
[0.44999917558312297, 0.44999917558312297, 0.4499995021035552, 0.4499997233338721, 0.449999747951234, 0.44999973608995636, 0.4499999327605047, 0.44999988114406564, 0.44999991090379726]
[0.4499990598404509, 0.4499990598404509, 0.44999947214992264, 0.44999968610293467, 0.4499997137681908, 0.4499997045886379, 0.44999991671870976, 0.44999987517329343, 0.449999904163514]
[0.4499988902517471, 0.4499988902517471, 0.4499994348709875, 0.44999964424428307, 0.4499996438838087, 0.4499996674578183, 0.44999987766769706, 0.44999985137048654, 0.4499998784483668]
[0.449998219556251, 0.449998219556251, 0.4499991905314234, 0.44999926003265944, 0.449999388481346, 0.449999502497117, 0.4499997130683759, 0.44999980036599946, 0.44999980736122724]
[0.44999806631397277, 0.44999806631397277, 0.4499991212377411, 0.4499991820770244, 0.44999933271058795, 0.4499994595120163, 0.44999965407197273, 0.44999978236575877, 0.4499997886156195]
[0.4499979250717069, 0.4499979250717069, 0.44999906294159703, 0.4499991283296448, 0.44999932197398435, 0.44999939985808785, 0.4499996362565623, 0.4499997504466303, 0.4499997641576192]
[0.4499978121537304, 0.4499978121537304, 0.44999904273839575, 0.44999911019642586, 0.4499992898853813, 0.44999938939148826, 0.44999960698680136, 0.44999973294432993, 0.44999975927465347]
[0.44999716893733793, 0.44999716893733793, 0.44999883620778053, 0.449998854667519, 0.4499992084996255, 0.4499991672183419, 0.4499994973361659, 0.44999962922576736, 0.44999970693946223]
[0.4499970951082455, 0.4499970951082455, 0.4499987964770733, 0.4499988223912178, 0.44999919726305104, 0.44999913253549256, 0.44999948314108434, 0.44999961774619285, 0.44999970693946223]
[0.44999661567743593, 0.44999661567743593, 0.44999862563158805, 0.44999855601308775, 0.44999906357580016, 0.44999895124005956, 0.44999944700979333, 0.44999954161669353, 0.4499996603403936]
[0.4499965801289002, 0.4499965801289002, 0.44999861199842867, 0.44999854237992837, 0.4499990496563153, 0.44999893939054775, 0.44999944700979333, 0.44999954161669353, 0.4499996603403936]
[0.44999655751921225, 0.44999655751921225, 0.44999861199842867, 0.44999854237992837, 0.4499990496563153, 0.44999892065080876, 0.44999944700979333, 0.44999954161669353, 0.449999652803831]
[0.4499964956901837, 0.4499964956901837, 0.44999859279530724, 0.449998517563868, 0.4499990371067834, 0.44999889750945915, 0.44999943033820705, 0.44999954161669353, 0.449999652803831]
[0.4499964786903525, 0.4499964786903525, 0.44999859279530724, 0.449998517563868, 0.4499990371067834, 0.44999888050962794, 0.44999943033820705, 0.44999953595008313, 0.44999964713722057]
[0.4499961903296297, 0.4499961903296297, 0.4499985091279163, 0.44999842837839643, 0.4499990258454785, 0.4499987916071524, 0.4499993684655036, 0.44999946256028556, 0.44999962925537923]
[0.44999602341235867, 0.44999602341235867, 0.449998464900913, 0.4499983750851908, 0.44999897277635503, 0.449998725955593, 0.4499993510676745, 0.4499994495559967, 0.4499996003186059]
[0.44999542772004675, 0.44999542772004675, 0.44999825804323634, 0.44999803420145507, 0.4499988723221149, 0.449998459677287, 0.44999933619583976, 0.44999942768415213, 0.449999595165933]
[0.44999530580291813, 0.44999530580291813, 0.4499982287670736, 0.44999800699525466, 0.4499988392655017, 0.44999841613260283, 0.44999933619583976, 0.44999942768415213, 0.44999956128158636]
[0.4499952771933497, 0.4499952771933497, 0.4499982287670736, 0.44999800699525466, 0.4499988392655017, 0.44999839239296285, 0.4499993336258762, 0.44999942768415213, 0.4499995564116579]
[0.4499952019524284, 0.4499952019524284, 0.4499981991909629, 0.44999798012641745, 0.449998832598935, 0.4499983673126558, 0.4499993336258762, 0.4499994251190768, 0.4499995564116579]
[0.44999473152323405, 0.44999473152323405, 0.44999803736518834, 0.44999769974511583, 0.44999875081338303, 0.4499981629318772, 0.4499992921913688, 0.4499993764209723, 0.44999950532566857]
[0.4499942775944298, 0.4499942775944298, 0.4499978862947102, 0.44999747664275735, 0.44999863287358344, 0.4499979885057004, 0.44999923831426725, 0.4499993027283113, 0.4499994805103529]
[0.4499942097659022, 0.4499942097659022, 0.4499978520643084, 0.44999744463821767, 0.44999862413709446, 0.4499979585515993, 0.44999923831426725, 0.44999929899982755, 0.4499994805103529]
[0.449994049024965, 0.449994049024965, 0.4499977960440125, 0.44999737274002305, 0.44999860203128283, 0.4499978748646684, 0.4499991997821978, 0.4499992782830339, 0.44999943823848026]
[0.4499940206255033, 0.4499940206255033, 0.4499977799109845, 0.4499973538070486, 0.44999859536474207, 0.4499978653981812, 0.4499991997821978, 0.4499992782830339, 0.44999943823848026]
[0.44999400422590785, 0.44999400422590785, 0.4499977799109845, 0.4499973538070486, 0.44999859536474207, 0.4499978507985418, 0.4499991997821978, 0.44999927281650204, 0.44999943823848026]
[0.44999332303628736, 0.44999332303628736, 0.4499975312711852, 0.4499969550686612, 0.44999845697547747, 0.449997569008624, 0.4499990825741165, 0.4499991278832894, 0.44999935794620943]
[0.44999287810864735, 0.44999287810864735, 0.4499974011156304, 0.4499967489496981, 0.449998335200961, 0.4499973782791618, 0.44999904225466386, 0.4499991084874394, 0.44999932820936733]
[0.44999198803561813, 0.44999198803561813, 0.4499971189174876, 0.44999645232505764, 0.4499983222904786, 0.4499971030254729, 0.44999896991446137, 0.4499990383739427, 0.4499992695296313]
[0.44999196863616553, 0.44999196863616553, 0.4499971189174876, 0.4499964495251199, 0.4499983222904786, 0.44999708642595804, 0.44999896991446137, 0.4499990383739427, 0.44999926306314714]
[0.44999150120975334, 0.44999150120975334, 0.44999697104207753, 0.44999620848359856, 0.4499982382920907, 0.4499968834346758, 0.4499989184266262, 0.44999892939694686, 0.449999222567708]
[0.4499911334012762, 0.4499911334012762, 0.449996835008106, 0.44999602994348115, 0.44999817549079135, 0.449996738179307, 0.4499988659531045, 0.4499988844165874, 0.449999222567708]
[0.4499910628564574, 0.4499910628564574, 0.44999680766084654, 0.44999600216767305, 0.4499981688243111, 0.4499967146643674, 0.4499988607345712, 0.4499988818466634, 0.449999222567708]
[0.44999089761665123, 0.44999089761665123, 0.44999674391444233, 0.4499959052049359, 0.44999814114587416, 0.44999664384233007, 0.4499988192280919, 0.44999883996386153, 0.44999921926778946]
[0.44999083428869624, 0.44999083428869624, 0.4499967185988319, 0.44999587911932065, 0.44999813144777034, 0.44999661109007977, 0.4499988192280919, 0.4499988332973871, 0.44999921646787755]
[0.44998927531100147, 0.44998927531100147, 0.4499962763482402, 0.449995096881598, 0.44999788528310775, 0.44999592378575887, 0.4499985887799422, 0.44999859230031836, 0.44999912279015297]
[0.4499892143116138, 0.4499892143116138, 0.44999625601511095, 0.44999507654846876, 0.44999788528310775, 0.44999590345262963, 0.44999855761358426, 0.4499985516340599, 0.44999910245702374]
[0.44998919641233914, 0.44998919641233914, 0.44999625601511095, 0.4499950742485506, 0.44999788528310775, 0.4499958878532731, 0.44999855761358426, 0.4499985516340599, 0.44999910245702374]
[0.44998911836809, 0.44998911836809, 0.4499962228722446, 0.44999503668454605, 0.44999785150834193, 0.4499958754813523, 0.44999855320800947, 0.44999854428957275, 0.44999909988711134]
[0.4499890959688513, 0.4499890959688513, 0.4499962228722446, 0.44999503388463385, 0.44999785150834193, 0.44999585588202573, 0.4499985504080973, 0.44999854428957275, 0.44999908775419767]
[0.44998906756983287, 0.44998906756983287, 0.4499962067394683, 0.44999501495195493, 0.449997844841905, 0.44999584641568624, 0.4499985504080973, 0.44999853762313585, 0.4499990849542951]
[0.449989032961095, 0.449989032961095, 0.44999618853678613, 0.4499949967492728, 0.4499978358755662, 0.4499958348794403, 0.4499985504080973, 0.44999853762313585, 0.44999907828785884]
[0.4499889884136434, 0.4499889884136434, 0.4499961678341294, 0.4499949742336961, 0.4499978254092423, 0.44999582003028976, 0.4499985399417734, 0.44999853762313585, 0.44999907062143263]
[0.44998874924189447, 0.44998874924189447, 0.4499960814437785, 0.4499948225503255, 0.4499977797249847, 0.4499957090666164, 0.44999850265823227, 0.4499984877777077, 0.44999903054164636]
[0.4499886347921531, 0.4499886347921531, 0.4499960814437785, 0.44999479828724886, 0.4499977797249847, 0.44999566321678625, 0.44999850265823227, 0.44999844507813824, 0.4499990143418165]
[0.4499885947446882, 0.4499885947446882, 0.4499960678110185, 0.44999478208457905, 0.44999776918874546, 0.4499956470547155, 0.44999850265823227, 0.449998436882397, 0.4499990143418165]
[0.44998847000548875, 0.44998847000548875, 0.4499960205648556, 0.4499947211241354, 0.44999775575556294, 0.44999559453391275, 0.44999849467278, 0.44999843408249873, 0.4499990143418165]
[0.4499884440062572, 0.4499884440062572, 0.4499960032320346, 0.4499947037913144, 0.4499977470891524, 0.4499955858675022, 0.4499984860063695, 0.4499984254160882, 0.44999900567540596]
