total games = 1000
initial weights =  [0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45, 0.45]
initial mu =  0.01
every 250 games mu change 0.3

[-0.21721076380209836, -0.21721076380209836, 0.1702235484428474, 0.05851717778591019, 0.2724844584732214, 0.2158656554717487, 0.3214907297683911, 0.31450564920840257, 0.3577089927704477]
[-0.13235694785481253, -0.13235694785481253, 0.1723722198198815, 0.08075345040709814, 0.2744480436154292, 0.2660746112972559, 0.3260979140715908, 0.32399745903333316, 0.3606245397098574]
[-0.07243259758492422, -0.07243259758492422, 0.17246545096111796, 0.09636426033767106, 0.27570886494634217, 0.3040786517113901, 0.33110303301719957, 0.3363551909765229, 0.3606114470233531]
[-0.024838923035631157, -0.024838923035631157, 0.17246545096111796, 0.09793129889360526, 0.27570886494634217, 0.3327280886025556, 0.33623035789051253, 0.3381029145396881, 0.3658244572389991]
[0.0020316184578536506, 0.0020316184578536506, 0.17246545096111796, 0.09793129889360526, 0.2773985107704913, 0.3514156061603358, 0.339527511094693, 0.33979256036383726, 0.3658244572389991]
[-0.0902438417136916, -0.0902438417136916, 0.13971839108576245, 0.052139464368598766, 0.27556205712193454, 0.2953493398859677, 0.32621186425940485, 0.341026448469951, 0.35483543347774077]
[-0.07146758001720639, -0.07146758001720639, 0.1386192963994372, 0.049668731906420835, 0.2727388830855472, 0.311195581949802, 0.328661473465256, 0.34026686051340543, 0.35103381070945366]
[-0.026877431953369314, -0.026877431953369314, 0.13960479332119918, 0.05813260500622104, 0.2736094289606481, 0.3436750689228339, 0.3294260237688142, 0.344688142709755, 0.35199615066498247]
[-0.007902660537964614, -0.007902660537964614, 0.13960479332119918, 0.06046299704812069, 0.27434579760379085, 0.3588640717186383, 0.3307161515214684, 0.34462735117537, 0.3543823639640815]
[0.022033908334892504, 0.022033908334892504, 0.14001898303352808, 0.06150732564652039, 0.27434579760379085, 0.37686365318434284, 0.33068615197143353, 0.34716125171172385, 0.36046868805862875]
[-0.08810314023228955, -0.08810314023228955, 0.09133159472679571, 0.016960530172812942, 0.2718875696220941, 0.3068156130642033, 0.3215658763267516, 0.334312365070518, 0.3470670497292518]
[-0.0718465014110727, -0.0718465014110727, 0.09133159472679571, 0.016960530172812942, 0.2718875696220941, 0.3219230031842302, 0.3324036355408962, 0.3354616137717079, 0.3482162984304417]
[-0.02805199402990627, -0.02805199402990627, 0.0986135630833571, 0.028423172343630426, 0.2704643494011614, 0.3560446994088639, 0.3324036355408962, 0.33318922966081777, 0.349844515987066]
[0.006609482735251025, 0.006609482735251025, 0.09895014007299201, 0.035274052952410276, 0.2707544462315244, 0.38051231122953266, 0.3324036355408962, 0.33765412454404975, 0.35266733355762087]
[-0.04471092216219202, -0.04471092216219202, 0.07336479829257664, 0.012630850928304327, 0.27048135483257213, 0.3468906863627541, 0.3247999466534429, 0.32657985062454997, 0.35057982896165507]
[-0.022700939162720712, -0.022700939162720712, 0.07336479829257664, 0.01566711365453111, 0.27048135483257213, 0.3658644066359986, 0.3247999466534429, 0.327749501122481, 0.3524464411899508]
[0.0021417799010827617, 0.0021417799010827617, 0.07336479829257664, 0.016750582951524824, 0.27048135483257213, 0.3853485099993089, 0.32799162375994867, 0.32991643971646845, 0.3524464411899508]
[0.02444586953951682, 0.02444586953951682, 0.07336479829257664, 0.019121422619531054, 0.2730119544010831, 0.40275116040122577, 0.3291900031081267, 0.33615275691443514, 0.3524464411899508]
[0.04091187893617429, 0.04091187893617429, 0.08280441109431272, 0.02856103542126714, 0.27850062419996896, 0.4082398302001116, 0.33467867290701253, 0.33615275691443514, 0.3524464411899508]
[0.06097043539427795, 0.06097043539427795, 0.08618687814883608, 0.03209498824270776, 0.27850062419996896, 0.42476443383677476, 0.3358406971892902, 0.33930498957902905, 0.3524464411899508]
[0.0793830748727574, 0.0793830748727574, 0.08618687814883608, 0.033896704735604764, 0.27850062419996896, 0.4382936595146401, 0.3417044814290275, 0.33930498957902905, 0.3524464411899508]
[-0.05723785942085236, -0.05723785942085236, 0.03179128193720289, -0.021109668116947977, 0.27800040857003105, 0.3514680618725144, 0.3200625963401693, 0.31961086663039723, 0.334487621328353]
[-0.15523197139701428, -0.15523197139701428, 0.028090527693089742, -0.027011732283034797, 0.27742369559293056, 0.2993367902315135, 0.27931042485396207, 0.2796500536949297, 0.2967203031451979]
[-0.11939446608876234, -0.11939446608876234, 0.028090527693089742, -0.020283361876879916, 0.27742369559293056, 0.32607145228230094, 0.27931042485396207, 0.2848675183915254, 0.30344867355135274]
[-0.1222783181044935, -0.1222783181044935, 0.03029798916054449, -0.016542016405950908, 0.27787334303757544, 0.31593224681215926, 0.2800118477222454, 0.27283384446457964, 0.29785373329560044]
[-0.07353474514155739, -0.07353474514155739, 0.03109207112002489, -0.014566702365404523, 0.27787334303757544, 0.3495429400252304, 0.2807298668028353, 0.276612557611297, 0.30354715733641285]
[-0.16309745903595171, -0.16309745903595171, 0.028505789704910887, -0.014710382591247224, 0.27867669912130044, 0.29401965726466656, 0.2740051656564261, 0.2650880795983238, 0.30087084565639516]
[-0.09056807560600687, -0.09056807560600687, 0.028505789704910887, -0.006937486946790111, 0.27906164690368596, 0.3377857604817681, 0.2853010570335101, 0.26787690830978944, 0.3036112157967542]
[-0.05162183963914071, -0.05162183963914071, 0.028505789704910887, -0.006213673270758045, 0.27906164690368596, 0.3698657249148114, 0.29141738843161974, 0.26389390776633975, 0.31179442347888625]
[-0.008250406275408953, -0.008250406275408953, 0.031185648305077116, -0.002814799318422669, 0.27906164690368596, 0.3972825332960753, 0.2965192134188336, 0.2692635192862214, 0.31359646333690866]
[-0.02467371019898159, -0.02467371019898159, 0.022546782521823596, -0.018521131659772143, 0.27970228034054523, 0.39111592637972914, 0.2939112862229395, 0.26834837126460326, 0.3113389922822023]
[-0.00880387390011021, -0.00880387390011021, 0.02284505568080197, -0.016319054998257407, 0.2801496184587605, 0.4057493192180539, 0.2944685804313413, 0.27028954605511096, 0.31393575613781416]
[-0.08045903030131334, -0.08045903030131334, -0.002815847297146825, -0.054993821290600764, 0.28021055196849637, 0.36253067600769673, 0.27927782640194904, 0.2551184922106573, 0.30235027910349904]
[-0.08967679344655893, -0.08967679344655893, 0.0002502675004455804, -0.05512666392882399, 0.27982444574537874, 0.3552365103714042, 0.27341430090170943, 0.2511423286370669, 0.29341580823389335]
[-0.02935646821979322, -0.02935646821979322, 0.0010967251604874833, -0.05337317185055369, 0.2860278528897269, 0.39480023724800056, 0.2736192018865782, 0.2515682253913722, 0.2997339790671417]
